ts,uptime_s,cgroup_anon,nmt_committed_kb,heap_kb,class_kb,thread_kb,code_kb,gc_kb,internal_kb,other_kb,threads
21:16:30Z,300,594071552,582361,409600,55015,9356,18766,68596,926,5372,97
21:21:31Z,600,618983424,586607,409600,55813,9356,22249,68646,927,5374,97
21:26:33Z,900,617603072,588125,409600,56107,9384,23496,68679,932,5374,97
21:31:34Z,1200,617000960,589549,409600,56373,9384,24609,68694,933,5374,97
21:36:35Z,1500,627769344,590914,409600,56589,9396,25656,68777,935,5374,97
21:41:37Z,1800,630956032,592780,409600,56597,9396,26500,68784,935,5374,97
21:46:38Z,2100,636293120,593700,409600,56862,9396,27347,68800,935,5374,97
